code,name,mic,timezone,hour,close_date,country,source
US,"US exchanges (NYSE, Nasdaq)","XNYS,XASE,BATS,ARCX,XNMS,XNCM,XNGS,IEXG",America/New_York,09:30-16:00,,,https://www.tradinghours.com/exchanges/nyse
AS,NYSE EURONEXT - EURONEXT AMSTERDAM,XAMS,Europe/Amsterdam,09:00-17:40,,,https://www.tradinghours.com/exchanges/euronext
AT,ATHENS EXCHANGE S.A. CASH MARKET,ASEX,Europe/Athens,10:15-17:20,,,https://www.tradinghours.com/exchanges/ase-athens
AX,ASX - ALL MARKETS,XASX,Australia/Sydney,10:00-16:00,,AU,https://www.tradinghours.com/exchanges/asx
BD,BUDAPEST STOCK EXCHANGE,XBUD,Europe/Budapest,08:15-17:20,,,https://www.tradinghours.com/exchanges/bse-budapest
BE,BOERSE BERLIN,XBER,Europe/Berlin,08:00-20:00,,,https://www.tradinghours.com/exchanges/xber
BK,STOCK EXCHANGE OF THAILAND,XBKK,Asia/Bangkok,09:30-17:00,,,https://www.tradinghours.com/exchanges/set
BO,BSE LTD,XBOM,Asia/Kolkata,09:00-16:00,,IN,https://www.tradinghours.com/exchanges/bse-bombay
BR,NYSE EURONEXT - EURONEXT BRUSSELS,XBRU,Europe/Brussels,09:00-17:30,,,https://www.tradinghours.com/exchanges/euronext-brussels
DB,DUBAI FINANCIAL MARKET,XDFM,Asia/Dubai,09:30-14:00,,,https://www.tradinghours.com/exchanges/dfm
DE,XETRA,XETR,Europe/Berlin,09:00-17:30,,DE,https://www.tradinghours.com/exchanges/xetr
DU,BOERSE DUESSELDORF,XDUS,Europe/Berlin,08:00:20:00,,,https://www.tradinghours.com/exchanges/xdus
F,DEUTSCHE BOERSE AG,XFRA,Europe/Berlin,08:00-20:00,,DE,https://www.tradinghours.com/exchanges/fsx
HE,NASDAQ OMX HELSINKI LTD,XHEL,Europe/Helsinki,10:00-18:30,,,https://www.tradinghours.com/exchanges/omxh-helsinki
HK,HONG KONG EXCHANGES AND CLEARING LTD,XHKG,Asia/Hong_Kong,09:00-16:10,,,https://www.tradinghours.com/exchanges/hkex
HM,HANSEATISCHE WERTPAPIERBOERSE HAMBURG,XHAM,Europe/Berlin,08:00-20:00,,,https://www.tradinghours.com/exchanges/xham
IC,NASDAQ OMX ICELAND,XICE,Atlantic/Reykjavik,09:30-15:30,,,https://www.tradinghours.com/exchanges/xice
IR,IRISH STOCK EXCHANGE - ALL MARKET,XDUB,Europe/Dublin,09:00-17:30,,,https://www.tradinghours.com/exchanges/ise
L,LONDON STOCK EXCHANGE,XLON,Europe/London,08:00-16:30,,GB,https://www.tradinghours.com/exchanges/lse
LN,Euronext London,XLDN,,,,,
LS,NYSE EURONEXT - EURONEXT LISBON,XLIS,Europe/Lisbon,09:00-17:30,,,https://www.tradinghours.com/exchanges/euronext-lisbon
